Time,Name,IP,Value,X,Y
2023-06-28 21:17:09.830,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-71,3.0,2.8
2023-06-28 21:17:09.833,Peppa Pig,48:a1:95:eb:c6:21,-72,3.0,2.8
2023-06-28 21:17:09.834,BUAA-WiFi,18:64:72:d3:21:b0,-53,3.0,2.8
2023-06-28 21:17:09.835,AP1_5G,f0:b4:29:db:56:86,-45,3.0,2.8
2023-06-28 21:17:09.836,AP1,f0:b4:29:db:56:85,-46,3.0,2.8
2023-06-28 21:17:09.837,BUAA-WiFi,40:e3:d6:8d:14:60,-87,3.0,2.8
2023-06-28 21:17:09.838,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-46,3.0,2.8
2023-06-28 21:17:09.839,BUAA-Mobile,18:64:72:d3:21:b1,-54,3.0,2.8
2023-06-28 21:17:09.840,BUAA-Mobile,18:64:72:d3:03:91,-78,3.0,2.8
2023-06-28 21:17:09.841,BUAA-WiFi,18:64:72:d3:03:90,-77,3.0,2.8
2023-06-28 21:17:09.842,buaa508,ec:b9:70:af:6e:22,-94,3.0,2.8
2023-06-28 21:17:09.843,BUAA-Mobile,18:64:72:d3:21:a1,-51,3.0,2.8
2023-06-28 21:17:09.844,BUAA-Mobile,18:64:72:de:15:a1,-96,3.0,2.8
2023-06-28 21:17:09.845,BUAA-WiFi,18:64:72:d3:21:a0,-51,3.0,2.8
2023-06-28 21:17:09.846,BUAA-Mobile,18:64:72:d3:03:81,-65,3.0,2.8
2023-06-28 21:17:09.847,Peppa Pig,48:a1:95:eb:c6:20,-72,3.0,2.8
2023-06-28 21:17:09.848,BUAA-Mobile,40:e3:d6:8d:14:61,-86,3.0,2.8
2023-06-28 21:17:09.849,,ee:b9:70:df:6e:22,-94,3.0,2.8
2023-06-28 21:17:09.849,BUAA-Mobile,18:64:72:d3:29:41,-74,3.0,2.8
2023-06-28 21:17:09.850,CMT,28:64:b0:7b:b0:a0,-85,3.0,2.8
2023-06-28 21:17:09.851,BUAA-WiFi,18:64:72:d3:03:80,-66,3.0,2.8
2023-06-28 21:17:09.851,BUAA-Mobile,18:64:72:d3:29:51,-81,3.0,2.8
2023-06-28 21:17:09.852,BUAA-WiFi,18:64:72:d3:29:50,-81,3.0,2.8
2023-06-28 21:17:09.853,BUAA-Mobile,60:0b:03:cf:5d:91,-93,3.0,2.8
2023-06-28 21:17:09.853,,aa:39:b3:d8:a7:52,-84,3.0,2.8
