Time,Name,IP,Value,X,Y
2023-06-28 21:42:12.013,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-56,4.0,7.3
2023-06-28 21:42:12.017,Peppa Pig,48:a1:95:eb:c6:21,-67,4.0,7.3
2023-06-28 21:42:12.020,BUAA-Mobile,18:64:72:d3:21:b1,-51,4.0,7.3
2023-06-28 21:42:12.021,BUAA-WiFi,18:64:72:d3:21:b0,-52,4.0,7.3
2023-06-28 21:42:12.022,AP1_5G,f0:b4:29:db:56:86,-56,4.0,7.3
2023-06-28 21:42:12.023,Peppa Pig,48:a1:95:eb:c6:20,-52,4.0,7.3
2023-06-28 21:42:12.024,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-37,4.0,7.3
2023-06-28 21:42:12.026,AP1,f0:b4:29:db:56:85,-48,4.0,7.3
2023-06-28 21:42:12.027,,32:b4:9e:60:24:33,-92,4.0,7.3
2023-06-28 21:42:12.029,,ee:b9:70:df:6e:22,-87,4.0,7.3
2023-06-28 21:42:12.030,BUAA-Mobile,18:64:72:d3:03:91,-67,4.0,7.3
2023-06-28 21:42:12.031,BUAA-WiFi,18:64:72:d3:03:90,-67,4.0,7.3
2023-06-28 21:42:12.032,BUAA-WiFi,18:64:72:d3:03:80,-73,4.0,7.3
2023-06-28 21:42:12.032,BUAA-Mobile,18:64:72:d3:1f:e1,-86,4.0,7.3
2023-06-28 21:42:12.033,BUAA-WiFi,18:64:72:d3:1f:e0,-84,4.0,7.3
2023-06-28 21:42:12.034,BUAA-Mobile,18:64:72:d3:21:a1,-52,4.0,7.3
2023-06-28 21:42:12.035,BUAA-Mobile,18:64:72:d3:29:51,-70,4.0,7.3
2023-06-28 21:42:12.036,BUAA-WiFi,18:64:72:d3:29:50,-70,4.0,7.3
2023-06-28 21:42:12.036,BUAA-Mobile,18:64:72:d3:03:81,-60,4.0,7.3
2023-06-28 21:42:12.037,BUAA-WiFi,18:64:72:d3:21:a0,-51,4.0,7.3
2023-06-28 21:42:12.038,BUAA-WiFi,18:64:72:d3:29:40,-82,4.0,7.3
2023-06-28 21:42:12.039,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-81,4.0,7.3
2023-06-28 21:42:12.040,,0a:41:20:8d:58:eb,-95,4.0,7.3
2023-06-28 21:42:12.040,DIRECT-c4-HP M283 LaserJet,5e:fb:3a:d6:d8:c4,-86,4.0,7.3
2023-06-28 21:42:12.041,CMT,28:64:b0:7b:b0:a0,-85,4.0,7.3
2023-06-28 21:42:12.042,BUAA-Mobile,40:e3:d6:1a:cc:41,-88,4.0,7.3
2023-06-28 21:42:12.043,buaa508,ec:b9:70:af:6e:22,-86,4.0,7.3
2023-06-28 21:42:12.044,AIH-W412-F6TA52114BC9,3c:2c:94:11:4b:c9,-94,4.0,7.3
2023-06-28 21:42:12.994,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-56,4.0,7.3
2023-06-28 21:42:12.997,Peppa Pig,48:a1:95:eb:c6:21,-67,4.0,7.3
2023-06-28 21:42:13.000,BUAA-Mobile,18:64:72:d3:21:b1,-51,4.0,7.3
2023-06-28 21:42:13.004,BUAA-WiFi,18:64:72:d3:21:b0,-52,4.0,7.3
2023-06-28 21:42:13.008,AP1_5G,f0:b4:29:db:56:86,-56,4.0,7.3
2023-06-28 21:42:13.010,Peppa Pig,48:a1:95:eb:c6:20,-52,4.0,7.3
2023-06-28 21:42:13.013,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-37,4.0,7.3
2023-06-28 21:42:13.015,AP1,f0:b4:29:db:56:85,-48,4.0,7.3
2023-06-28 21:42:13.018,,32:b4:9e:60:24:33,-92,4.0,7.3
2023-06-28 21:42:13.021,,ee:b9:70:df:6e:22,-87,4.0,7.3
2023-06-28 21:42:13.024,BUAA-Mobile,18:64:72:d3:03:91,-67,4.0,7.3
2023-06-28 21:42:13.026,BUAA-WiFi,18:64:72:d3:03:90,-67,4.0,7.3
2023-06-28 21:42:13.028,BUAA-WiFi,18:64:72:d3:03:80,-73,4.0,7.3
2023-06-28 21:42:13.030,BUAA-Mobile,18:64:72:d3:1f:e1,-86,4.0,7.3
2023-06-28 21:42:13.032,BUAA-WiFi,18:64:72:d3:1f:e0,-84,4.0,7.3
2023-06-28 21:42:13.035,BUAA-Mobile,18:64:72:d3:21:a1,-52,4.0,7.3
2023-06-28 21:42:13.038,BUAA-Mobile,18:64:72:d3:29:51,-70,4.0,7.3
2023-06-28 21:42:13.041,BUAA-WiFi,18:64:72:d3:29:50,-70,4.0,7.3
2023-06-28 21:42:13.043,BUAA-Mobile,18:64:72:d3:03:81,-60,4.0,7.3
2023-06-28 21:42:13.045,BUAA-WiFi,18:64:72:d3:21:a0,-51,4.0,7.3
2023-06-28 21:42:13.047,BUAA-WiFi,18:64:72:d3:29:40,-82,4.0,7.3
2023-06-28 21:42:13.050,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-81,4.0,7.3
2023-06-28 21:42:13.052,,0a:41:20:8d:58:eb,-95,4.0,7.3
2023-06-28 21:42:13.054,DIRECT-c4-HP M283 LaserJet,5e:fb:3a:d6:d8:c4,-86,4.0,7.3
2023-06-28 21:42:13.056,CMT,28:64:b0:7b:b0:a0,-85,4.0,7.3
2023-06-28 21:42:13.058,BUAA-Mobile,40:e3:d6:1a:cc:41,-88,4.0,7.3
2023-06-28 21:42:13.061,buaa508,ec:b9:70:af:6e:22,-86,4.0,7.3
2023-06-28 21:42:13.064,AIH-W412-F6TA52114BC9,3c:2c:94:11:4b:c9,-94,4.0,7.3
2023-06-28 21:42:13.993,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-56,4.0,7.3
2023-06-28 21:42:13.996,Peppa Pig,48:a1:95:eb:c6:21,-67,4.0,7.3
2023-06-28 21:42:14.002,BUAA-Mobile,18:64:72:d3:21:b1,-51,4.0,7.3
2023-06-28 21:42:14.005,BUAA-WiFi,18:64:72:d3:21:b0,-52,4.0,7.3
2023-06-28 21:42:14.007,AP1_5G,f0:b4:29:db:56:86,-56,4.0,7.3
2023-06-28 21:42:14.009,Peppa Pig,48:a1:95:eb:c6:20,-52,4.0,7.3
2023-06-28 21:42:14.011,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-37,4.0,7.3
2023-06-28 21:42:14.014,AP1,f0:b4:29:db:56:85,-48,4.0,7.3
2023-06-28 21:42:14.016,,32:b4:9e:60:24:33,-92,4.0,7.3
2023-06-28 21:42:14.018,,ee:b9:70:df:6e:22,-87,4.0,7.3
2023-06-28 21:42:14.020,BUAA-Mobile,18:64:72:d3:03:91,-67,4.0,7.3
2023-06-28 21:42:14.021,BUAA-WiFi,18:64:72:d3:03:90,-67,4.0,7.3
2023-06-28 21:42:14.023,BUAA-WiFi,18:64:72:d3:03:80,-73,4.0,7.3
2023-06-28 21:42:14.025,BUAA-Mobile,18:64:72:d3:1f:e1,-86,4.0,7.3
2023-06-28 21:42:14.028,BUAA-WiFi,18:64:72:d3:1f:e0,-84,4.0,7.3
2023-06-28 21:42:14.029,BUAA-Mobile,18:64:72:d3:21:a1,-52,4.0,7.3
2023-06-28 21:42:14.030,BUAA-Mobile,18:64:72:d3:29:51,-70,4.0,7.3
2023-06-28 21:42:14.031,BUAA-WiFi,18:64:72:d3:29:50,-70,4.0,7.3
2023-06-28 21:42:14.033,BUAA-Mobile,18:64:72:d3:03:81,-60,4.0,7.3
2023-06-28 21:42:14.034,BUAA-WiFi,18:64:72:d3:21:a0,-51,4.0,7.3
2023-06-28 21:42:14.035,BUAA-WiFi,18:64:72:d3:29:40,-82,4.0,7.3
2023-06-28 21:42:14.037,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-81,4.0,7.3
2023-06-28 21:42:14.038,,0a:41:20:8d:58:eb,-95,4.0,7.3
2023-06-28 21:42:14.039,DIRECT-c4-HP M283 LaserJet,5e:fb:3a:d6:d8:c4,-86,4.0,7.3
2023-06-28 21:42:14.040,CMT,28:64:b0:7b:b0:a0,-85,4.0,7.3
2023-06-28 21:42:14.042,BUAA-Mobile,40:e3:d6:1a:cc:41,-88,4.0,7.3
2023-06-28 21:42:14.043,buaa508,ec:b9:70:af:6e:22,-86,4.0,7.3
2023-06-28 21:42:14.044,AIH-W412-F6TA52114BC9,3c:2c:94:11:4b:c9,-94,4.0,7.3
2023-06-28 21:42:14.993,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-56,4.0,7.3
2023-06-28 21:42:15.002,Peppa Pig,48:a1:95:eb:c6:21,-67,4.0,7.3
2023-06-28 21:42:15.008,BUAA-Mobile,18:64:72:d3:21:b1,-51,4.0,7.3
2023-06-28 21:42:15.011,BUAA-WiFi,18:64:72:d3:21:b0,-52,4.0,7.3
2023-06-28 21:42:15.016,AP1_5G,f0:b4:29:db:56:86,-56,4.0,7.3
2023-06-28 21:42:15.019,Peppa Pig,48:a1:95:eb:c6:20,-52,4.0,7.3
2023-06-28 21:42:15.022,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-37,4.0,7.3
2023-06-28 21:42:15.025,AP1,f0:b4:29:db:56:85,-48,4.0,7.3
2023-06-28 21:42:15.028,,32:b4:9e:60:24:33,-92,4.0,7.3
2023-06-28 21:42:15.030,,ee:b9:70:df:6e:22,-87,4.0,7.3
2023-06-28 21:42:15.033,BUAA-Mobile,18:64:72:d3:03:91,-67,4.0,7.3
