Time,Name,IP,Value,X,Y
2023-06-28 20:16:52.257,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-66,0.5,2.8
2023-06-28 20:16:52.260,Peppa Pig,48:a1:95:eb:c6:21,-67,0.5,2.8
2023-06-28 20:16:52.261,BUAA-Mobile,18:64:72:d3:21:b1,-48,0.5,2.8
2023-06-28 20:16:52.263,BUAA-WiFi,18:64:72:d3:21:b0,-48,0.5,2.8
2023-06-28 20:16:52.264,AP1_5G,f0:b4:29:db:56:86,-52,0.5,2.8
2023-06-28 20:16:52.265,Peppa Pig,48:a1:95:eb:c6:20,-68,0.5,2.8
2023-06-28 20:16:52.266,AP1,f0:b4:29:db:56:85,-41,0.5,2.8
2023-06-28 20:16:52.268,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-43,0.5,2.8
2023-06-28 20:16:52.269,BUAA-Mobile,18:64:72:d3:03:91,-74,0.5,2.8
2023-06-28 20:16:52.270,,32:b4:9e:60:24:33,-71,0.5,2.8
2023-06-28 20:16:52.271,BUAA-Mobile,b0:f9:63:24:54:b2,-96,0.5,2.8
2023-06-28 20:16:52.273,BUAA-WiFi,b0:f9:63:24:54:b0,-93,0.5,2.8
2023-06-28 20:16:52.274,TP-LINK_93C7C3,88:25:93:93:c7:c3,-93,0.5,2.8
2023-06-28 20:16:52.275,BUAA-WiFi,18:64:72:de:15:a0,-92,0.5,2.8
2023-06-28 20:16:52.276,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-87,0.5,2.8
2023-06-28 20:16:52.277,HUAWEI-GYEL3E_5G,a8:5a:e0:db:b5:0c,-80,0.5,2.8
2023-06-28 20:16:52.279,CMT,28:64:b0:7b:b0:a0,-86,0.5,2.8
2023-06-28 20:16:52.280,buaacw_Wi-Fi5,1e:79:75:8f:16:ca,-84,0.5,2.8
2023-06-28 20:16:52.281,buaacw,04:79:75:8f:16:ca,-85,0.5,2.8
2023-06-28 20:16:52.282,YU_Yixiong,26:41:8c:01:3e:89,-91,0.5,2.8
2023-06-28 20:16:52.284,BUAA-Mobile,18:64:72:d3:03:81,-58,0.5,2.8
2023-06-28 20:16:52.285,BUAA-Mobile,18:64:72:d3:21:a1,-53,0.5,2.8
2023-06-28 20:16:52.286,BUAA-WiFi,18:64:72:d3:21:a0,-55,0.5,2.8
2023-06-28 20:16:52.287,xiao group,8a:25:93:86:e0:4c,-84,0.5,2.8
2023-06-28 20:16:52.289,BUAA-WiFi,b0:f9:63:24:51:b0,-95,0.5,2.8
2023-06-28 20:16:52.290,BUAA-WiFi,18:64:72:d3:29:40,-69,0.5,2.8
2023-06-28 20:16:52.291,BUAA-WiFi,18:64:72:d3:03:90,-70,0.5,2.8
2023-06-28 20:16:52.292,BUAA-WiFi,18:64:72:d3:03:80,-57,0.5,2.8
2023-06-28 20:16:52.294,BUAA-Mobile,18:64:72:d3:29:51,-75,0.5,2.8
2023-06-28 20:16:52.295,BUAA-WiFi,18:64:72:d3:29:50,-75,0.5,2.8
2023-06-28 20:16:53.242,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-66,0.5,2.8
2023-06-28 20:16:53.247,Peppa Pig,48:a1:95:eb:c6:21,-67,0.5,2.8
2023-06-28 20:16:53.249,BUAA-Mobile,18:64:72:d3:21:b1,-48,0.5,2.8
2023-06-28 20:16:53.252,BUAA-WiFi,18:64:72:d3:21:b0,-48,0.5,2.8
2023-06-28 20:16:53.254,AP1_5G,f0:b4:29:db:56:86,-52,0.5,2.8
2023-06-28 20:16:53.257,Peppa Pig,48:a1:95:eb:c6:20,-68,0.5,2.8
2023-06-28 20:16:53.259,AP1,f0:b4:29:db:56:85,-41,0.5,2.8
2023-06-28 20:16:53.261,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-43,0.5,2.8
2023-06-28 20:16:53.263,BUAA-Mobile,18:64:72:d3:03:91,-74,0.5,2.8
2023-06-28 20:16:53.265,,32:b4:9e:60:24:33,-71,0.5,2.8
2023-06-28 20:16:53.266,BUAA-Mobile,b0:f9:63:24:54:b2,-96,0.5,2.8
2023-06-28 20:16:53.268,BUAA-WiFi,b0:f9:63:24:54:b0,-93,0.5,2.8
2023-06-28 20:16:53.269,TP-LINK_93C7C3,88:25:93:93:c7:c3,-93,0.5,2.8
2023-06-28 20:16:53.271,BUAA-WiFi,18:64:72:de:15:a0,-92,0.5,2.8
2023-06-28 20:16:53.272,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-87,0.5,2.8
2023-06-28 20:16:53.273,HUAWEI-GYEL3E_5G,a8:5a:e0:db:b5:0c,-80,0.5,2.8
2023-06-28 20:16:53.275,CMT,28:64:b0:7b:b0:a0,-86,0.5,2.8
2023-06-28 20:16:53.277,buaacw_Wi-Fi5,1e:79:75:8f:16:ca,-84,0.5,2.8
2023-06-28 20:16:53.278,buaacw,04:79:75:8f:16:ca,-85,0.5,2.8
2023-06-28 20:16:53.279,YU_Yixiong,26:41:8c:01:3e:89,-91,0.5,2.8
2023-06-28 20:16:53.281,BUAA-Mobile,18:64:72:d3:03:81,-58,0.5,2.8
2023-06-28 20:16:53.283,BUAA-Mobile,18:64:72:d3:21:a1,-53,0.5,2.8
2023-06-28 20:16:53.285,BUAA-WiFi,18:64:72:d3:21:a0,-55,0.5,2.8
2023-06-28 20:16:53.287,xiao group,8a:25:93:86:e0:4c,-84,0.5,2.8
2023-06-28 20:16:53.288,BUAA-WiFi,b0:f9:63:24:51:b0,-95,0.5,2.8
2023-06-28 20:16:53.289,BUAA-WiFi,18:64:72:d3:29:40,-69,0.5,2.8
2023-06-28 20:16:53.291,BUAA-WiFi,18:64:72:d3:03:90,-70,0.5,2.8
2023-06-28 20:16:53.292,BUAA-WiFi,18:64:72:d3:03:80,-57,0.5,2.8
2023-06-28 20:16:53.294,BUAA-Mobile,18:64:72:d3:29:51,-75,0.5,2.8
2023-06-28 20:16:53.295,BUAA-WiFi,18:64:72:d3:29:50,-75,0.5,2.8
2023-06-28 20:16:54.242,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-66,0.5,2.8
2023-06-28 20:16:54.247,Peppa Pig,48:a1:95:eb:c6:21,-67,0.5,2.8
2023-06-28 20:16:54.251,BUAA-Mobile,18:64:72:d3:21:b1,-48,0.5,2.8
2023-06-28 20:16:54.255,BUAA-WiFi,18:64:72:d3:21:b0,-48,0.5,2.8
2023-06-28 20:16:54.258,AP1_5G,f0:b4:29:db:56:86,-52,0.5,2.8
2023-06-28 20:16:54.260,Peppa Pig,48:a1:95:eb:c6:20,-68,0.5,2.8
2023-06-28 20:16:54.263,AP1,f0:b4:29:db:56:85,-41,0.5,2.8
2023-06-28 20:16:54.265,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-43,0.5,2.8
2023-06-28 20:16:54.267,BUAA-Mobile,18:64:72:d3:03:91,-74,0.5,2.8
2023-06-28 20:16:54.269,,32:b4:9e:60:24:33,-71,0.5,2.8
2023-06-28 20:16:54.272,BUAA-Mobile,b0:f9:63:24:54:b2,-96,0.5,2.8
2023-06-28 20:16:54.274,BUAA-WiFi,b0:f9:63:24:54:b0,-93,0.5,2.8
2023-06-28 20:16:54.276,TP-LINK_93C7C3,88:25:93:93:c7:c3,-93,0.5,2.8
2023-06-28 20:16:54.278,BUAA-WiFi,18:64:72:de:15:a0,-92,0.5,2.8
2023-06-28 20:16:54.281,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-87,0.5,2.8
2023-06-28 20:16:54.283,HUAWEI-GYEL3E_5G,a8:5a:e0:db:b5:0c,-80,0.5,2.8
2023-06-28 20:16:54.285,CMT,28:64:b0:7b:b0:a0,-86,0.5,2.8
2023-06-28 20:16:54.287,buaacw_Wi-Fi5,1e:79:75:8f:16:ca,-84,0.5,2.8
2023-06-28 20:16:54.289,buaacw,04:79:75:8f:16:ca,-85,0.5,2.8
2023-06-28 20:16:54.291,YU_Yixiong,26:41:8c:01:3e:89,-91,0.5,2.8
2023-06-28 20:16:54.292,BUAA-Mobile,18:64:72:d3:03:81,-58,0.5,2.8
2023-06-28 20:16:54.294,BUAA-Mobile,18:64:72:d3:21:a1,-53,0.5,2.8
2023-06-28 20:16:54.296,BUAA-WiFi,18:64:72:d3:21:a0,-55,0.5,2.8
2023-06-28 20:16:54.298,xiao group,8a:25:93:86:e0:4c,-84,0.5,2.8
2023-06-28 20:16:54.300,BUAA-WiFi,b0:f9:63:24:51:b0,-95,0.5,2.8
2023-06-28 20:16:54.301,BUAA-WiFi,18:64:72:d3:29:40,-69,0.5,2.8
2023-06-28 20:16:54.303,BUAA-WiFi,18:64:72:d3:03:90,-70,0.5,2.8
